"plot","Barringtonia_sarcostachys","Castanopsis_motleyana","Cleistanthus_paxii","Dillenia_excelsa","Dipterocarpus_caudiferus","Dipterocarpus_conformis","Dryobalanops_lanceolata","Eugenia_kunstleri","Knema_latericia","Lithocarpus_gracilis","Lithocarpus_sp.4","Macaranga _gigantea","Macaranga _pearsonii","Madhuca_kingiana","Mangifera_caesia","Parashorea_malaanonan","Shorea_agami","Shorea_angustifolia","Shorea_fallax","Shorea_johorensis","Shorea_macrophylla","Shorea_parvifolia","Vatica_dulitensis","Alangium_javanicum","Dehaasia_caesia","Dialium_indum","Eugenia_fastigiata","Eugenia_lineata","Hopea_nervosa","Litsea_sp.8","Macaranga _hypoleuca","Madhuca_korthalsii","Nothaphoebe_sp.3","Peltophorum_racemosum","Ryparosa_hullettii","Shorea_gibbosa","Sympetalandra_borneensis","Teijsmanniodendron_bogoriense","Vitex_qurmaea","Anisoptera_grossivenia","Baccaurea_macrocarpa","Barringtonia_lanceolata","Canarium_denticulatum","Endospermum_diadenum","Eugenia_sp.16","Eugenia_sp.6","Lithocarpus_nieuwenhuisii","Litsea_sp.2","Neo-uvaria_accuminatissima","Parashorea_tomentella","Pentace_laxiflora","Scorodocarpus_borneensis","Shorea_argentifolia","Vatica_albiramis","Aglaia_elliptica","Durio_kutejensis","Eugenia_sp.1","Ficus_benjamina","Horsfielda_sp.1","Koompassia_excelsa","Lithocarpus_sp.2","Litsea_sp.3","Parinari_oblongifolia","Polyalthia_sumatrana","Shorea_acuminatissima","Shorea_leprosula","Shorea_superba","Terminalia_subspathulata","Aglaia_sp.6","Callicarpa_longifolia","Intsia_palembanica","Intsia_sp.1","Knema_cinerea","Lophopetalum_beccarianum","Mallotus_oblongifolius","Pleiocarpidia_sandahanica","Sindora _irpicina","Symplocos_fasciculata","Azadirachta_excelsa","Hopea_ferruginea","Irvingia_malayana","Mastixia_trichotoma","Quercus_sp.1","Scaphium_macropodum","Shorea_ovalis","Vatica_sarawakensis","Aglaia_silvestris","Diospyros_macrophylla","Dysoxylon_alliaceum","Hydnocarpus_woodii","Microcos_crassifolia","Octomeles_sumatrana","Xanthophyllum_affine","Archidendron_sp.2","Castanopsis_hypophoenicea","Durio_sp.1","Dysoxylon_sp.8","Gluta _wallichii","Hopea_nutans","Lithocarpus_sp.3","Litsea_sp.27","Magnolia_candollii","Ochanostachys_amentacea","Shorea_laxa","Shorea_pauciflora","Aglaia_odoratissima","Aglaia_tomentosa","Duabanga_moluccana","Eugenia_sp.23","Neesia_synandra","Neolamarckia_cadamba","Paranephelium_xestophyllum","Pterospermum_stapfianum","Shorea_symingtonii","Triomma_malaccensis","Canarium_odontophyllum","Litsea_sp.32","Nephelium_ramboutan-ake","Chisocheton_sarawakanus","Cryptocarya_erectinervia","Cryptocarya_sp.3","Eugenia_chrysantha","Glochidion_rubrum","Homalium_foetidum","Lithocarpus_leptogyne","Alstonia_angustiloba","Artocarpus_dadak","Cryptocarya_sp.4","Dysoxylon_sp.4","Gironniera_nervosa","Litsea_gracilis","Xanthophyllum_vitellinum","Aglaia_macrocarpa","Palaquium_rostratum","Santiria_tomentosa","Chisocheton_beccarianus","Chisocheton_ceramicus","Diospyros_frutescens","Eugenia_sp.24","Nothaphoebe_umbelliflora","Polyalthia_sp.9","Shorea_faguetiana","Shorea_falciferoides","Xanthophyllum_ecarinatum","Litsea_sp.4","Myristica_sp.1","Sterculia_cordata","Chionanthus_pluriflorus","Ficus_sp.3","Ludekia_borneensis","Polyalthia_rumphii","Artocarpus_anisophyllus","Canthium_sp.1","Chisocheton_granatum","Dialium_hydnocarpoides","Dimocarpus_longan","Pometia_pinnata","Knema_laurina","Zizyphus_angustifolius","Aquilaria_malaccensis","Nephelium_maingayi","Beilschmiedia_micrantha","Diospyros_sp.3","Dipterocarpus_applanatus","Eusideroxylon_zwageri","Gonystylus_affinis","Planchonia_valida","Reinwardtiodendron_humile"
"A",1,2,1,1,3,2,1,1,1,3,1,3,2,1,1,3,1,3,4,8,4,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",0,0,0,1,3,0,0,0,0,0,1,6,10,0,0,0,0,0,2,0,2,3,1,2,1,1,1,1,1,1,11,1,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C",0,0,0,0,0,0,0,0,0,0,1,3,8,0,0,5,1,0,0,2,0,3,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D",0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,0,1,5,8,5,0,2,0,0,0,0,1,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,1,1,1,1,1,2,1,1,1,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E",0,0,0,0,0,0,1,0,0,0,1,2,20,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F",3,0,0,1,0,0,0,1,0,1,0,0,9,0,0,3,0,0,0,0,0,2,0,3,0,0,0,0,0,0,7,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H",0,0,0,1,2,0,0,0,0,0,0,10,5,3,0,0,0,0,0,2,0,9,1,2,3,0,0,0,1,0,4,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I",0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J",0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
