plot,type,tree_id,dbh,species,AGB
A,logged,A1,32.4,Shorea_angustifolia,0.78869347
A,logged,A2,35,Dipterocarpus_caudiferus,1.060892981
A,logged,A3,32.5,Shorea_johorensis,0.794730432
A,logged,A4,42.9,Shorea_parvifolia,1.574009693
A,logged,A5,33.5,Shorea_parvifolia,0.856576433
A,logged,A6,45,Lithocarpus_gracilis,2.019400282
A,logged,A7,33.6,Shorea_parvifolia,0.862909335
A,logged,A8,35.3,Shorea_parvifolia,0.974736471
A,logged,A9,55,Dipterocarpus_caudiferus,3.205721421
A,logged,A10,40,Dillenia_excelsa,1.394636868
A,logged,A11,40,Madhuca_kingiana,1.501208193
A,logged,A12,35,Shorea_parvifolia,0.95442716
A,logged,A13,30,Macaranga _gigantea,0.663339899
A,logged,A14,45,Lithocarpus_sp.4,2.019400282
A,logged,A15,38.4,Vatica_dulitensis,1.431398909
A,logged,A16,32.4,Macaranga _pearsonii,0.802717405
A,logged,A17,32.3,Vatica_dulitensis,0.934178253
A,logged,A18,84.7,Shorea_macrophylla,8.149878794
A,logged,A19,40,Vatica_dulitensis,1.582414341
A,logged,A20,37.5,Eugenia_kunstleri,1.378136412
A,logged,A21,35.3,Knema_latericia,0.896731846
A,logged,A22,46.4,Shorea_johorensis,1.906723377
A,logged,A23,34.6,Shorea_parvifolia,0.927732836
A,logged,A24,30.1,Shorea_parvifolia,0.657155281
A,logged,A25,33.6,Shorea_angustifolia,0.862909335
A,logged,A26,41.3,Mangifera_caesia,1.245757425
A,logged,A27,65,Dipterocarpus_conformis,4.801305855
A,logged,A28,43.7,Shorea_angustifolia,1.646831041
A,logged,A29,44.8,Parashorea_malaanonan,1.667763865
A,logged,A30,34.7,Castanopsis_motleyana,0.911827881
A,logged,A31,38.5,Shorea_parvifolia,1.206963499
A,logged,A32,30.4,Cleistanthus_paxii,0.746046684
A,logged,A33,42.1,Shorea_fallax,1.503079556
A,logged,A34,30.4,Macaranga _gigantea,0.685500385
A,logged,A35,70,Shorea_johorensis,5.162954755
A,logged,A36,70,Shorea_fallax,5.162954755
A,logged,A37,34.9,Shorea_johorensis,0.947712412
A,logged,A38,42,Shorea_johorensis,1.494345655
A,logged,A39,49.8,Dryobalanops_lanceolata,2.426939003
A,logged,A40,34.5,Parashorea_malaanonan,0.877806703
A,logged,A41,33.7,Shorea_johorensis,0.869269321
A,logged,A42,38.9,Shorea_johorensis,1.238022419
A,logged,A43,38.3,Shorea_parvifolia,1.191604856
A,logged,A44,61,Parashorea_malaanonan,3.531359183
A,logged,A45,45,Castanopsis_motleyana,1.726555514
A,logged,A46,45,Macaranga _gigantea,1.800689389
A,logged,A47,60,Dipterocarpus_conformis,3.957683069
A,logged,A48,65,Shorea_macrophylla,4.31947123
A,logged,A49,70,Shorea_fallax,5.162954755
A,logged,A50,38.7,Shorea_fallax,1.22243595
A,logged,A51,60,Lithocarpus_gracilis,4.06396789
A,logged,A52,65,Shorea_johorensis,4.31947123
A,logged,A53,75,Shorea_macrophylla,6.092864873
A,logged,A54,40,Shorea_agami,1.325795331
A,logged,A55,46.5,Macaranga _pearsonii,1.95085376
A,logged,A56,52.5,Dipterocarpus_caudiferus,2.863344089
A,logged,A57,80,Shorea_macrophylla,7.110969761
A,logged,A58,30.6,Barringtonia_sarcostachys,0.598778744
A,logged,A59,35.3,Shorea_parvifolia,0.974736471
A,logged,A60,35,Lithocarpus_gracilis,1.089383595
B,logged,B1,45,Alangium_javanicum,1.95622899
B,logged,B2,37.9,Macaranga _pearsonii,1.181876206
B,logged,B3,50,Eugenia_fastigiata,2.78688214
B,logged,B4,41.7,Macaranga _hypoleuca,1.494428389
B,logged,B5,41.3,Macaranga _pearsonii,1.45952714
B,logged,B6,42.7,Macaranga _hypoleuca,1.583769701
B,logged,B7,33.4,Macaranga _pearsonii,0.865389436
B,logged,B8,38,Macaranga _gigantea,1.189562155
B,logged,B9,41.5,Dillenia_excelsa,1.526464448
B,logged,B10,47.9,Dipterocarpus_caudiferus,2.290503455
B,logged,B11,55,Nothaphoebe_sp.3,2.240665578
B,logged,B12,48.7,Lithocarpus_sp.4,2.448928065
B,logged,B13,60,Vitex_qurmaea,3.458839481
B,logged,B14,35,Litsea_sp.8,0.713974947
B,logged,B15,63.7,Shorea_gibbosa,4.114090605
B,logged,B16,55.4,Dipterocarpus_caudiferus,3.262562478
B,logged,B17,33.6,Macaranga _gigantea,0.878252919
B,logged,B18,30,Eugenia_lineata,0.793952497
B,logged,B19,55,Shorea_fallax,2.884011531
B,logged,B20,45.4,Macaranga _hypoleuca,1.840057443
B,logged,B21,36.2,Macaranga _gigantea,1.05559857
B,logged,B22,33.7,Macaranga _pearsonii,0.884725993
B,logged,B23,31.5,Macaranga _pearsonii,0.748638711
B,logged,B24,42.1,Macaranga _pearsonii,1.529806149
B,logged,B25,46.6,Macaranga _pearsonii,1.961111181
B,logged,B26,34.6,Peltophorum_racemosum,0.939515043
B,logged,B27,38.8,Macaranga _gigantea,1.252089646
B,logged,B28,60,Shorea_parvifolia,3.560510134
B,logged,B29,41.2,Shorea_parvifolia,1.425528455
B,logged,B30,65,Shorea_fallax,4.31947123
B,logged,B31,43.5,Shorea_gibbosa,1.628447741
B,logged,B32,39.4,Hopea_nervosa,1.540226418
B,logged,B33,31.5,Dipterocarpus_caudiferus,0.817610823
B,logged,B34,38.5,Sympetalandra_borneensis,1.398525049
B,logged,B35,51.2,Shorea_macrophylla,2.423652617
B,logged,B36,68.5,Dialium_indum,6.648525654
B,logged,B37,70,Macaranga _hypoleuca,5.254758408
B,logged,B38,40.2,Macaranga _pearsonii,1.365992631
B,logged,B39,38.5,Macaranga _pearsonii,1.228424787
B,logged,B40,45,Teijsmanniodendron_bogoriense,1.688124828
B,logged,B41,30,Nothaphoebe_sp.3,0.506362733
B,logged,B42,35,Alangium_javanicum,1.055305276
B,logged,B43,30,Macaranga _gigantea,0.663339899
B,logged,B44,40.1,Madhuca_korthalsii,1.510438629
B,logged,B45,45,Shorea_macrophylla,1.76923031
B,logged,B46,35.4,Macaranga _gigantea,0.99901472
B,logged,B47,35.8,Vatica_dulitensis,1.20446439
B,logged,B48,30,Ryparosa_hullettii,0.652982932
B,logged,B49,39,Macaranga _pearsonii,1.268011363
B,logged,B50,33.2,Macaranga _hypoleuca,0.852635972
B,logged,B51,31.1,Macaranga _hypoleuca,0.725304817
B,logged,B52,34.4,Macaranga _hypoleuca,0.930811871
B,logged,B53,34.5,Macaranga _hypoleuca,0.937506549
B,logged,B54,38.3,Macaranga _hypoleuca,1.212793048
B,logged,B55,40.5,Macaranga _hypoleuca,1.391147775
B,logged,B56,35,Dehaasia_caesia,0.947807644
B,logged,B57,30.3,Macaranga _hypoleuca,0.679920516
B,logged,B58,40.3,Shorea_parvifolia,1.350337587
C,logged,C1,47.2,Macaranga _hypoleuca,2.023306139
C,logged,C2,38.4,Macaranga _hypoleuca,1.220594452
C,logged,C3,33.3,Macaranga _hypoleuca,0.858998967
C,logged,C4,40,Macaranga _pearsonii,1.349369594
C,logged,C5,39.9,Macaranga _hypoleuca,1.341102116
C,logged,C6,35,Macaranga _hypoleuca,0.971398043
C,logged,C7,36.9,Macaranga _hypoleuca,1.106596022
C,logged,C8,38.5,Macaranga _hypoleuca,1.228424787
C,logged,C9,42.5,Macaranga _pearsonii,1.565662001
C,logged,C10,31.5,Macaranga _hypoleuca,0.748638711
C,logged,C11,42.4,Macaranga _hypoleuca,1.556653131
C,logged,C12,30,Macaranga _hypoleuca,0.663339899
C,logged,C13,95,Shorea_argentifolia,10.71041773
C,logged,C14,36.6,Anisoptera_grossivenia,1.008918247
C,logged,C15,44,Macaranga _hypoleuca,1.704406046
C,logged,C16,30,Macaranga _pearsonii,0.663339899
C,logged,C17,34.3,Macaranga _gigantea,0.924144998
C,logged,C18,36.8,Macaranga _hypoleuca,1.099225329
C,logged,C19,71.1,Parashorea_tomentella,5.107969978
C,logged,C20,55,Lithocarpus_sp.4,3.291812076
C,logged,C21,34,Macaranga _hypoleuca,0.90431091
C,logged,C22,32.9,Macaranga _pearsonii,0.833711527
C,logged,C23,69.1,Anisoptera_grossivenia,4.738490738
C,logged,C24,39.9,Anisoptera_grossivenia,1.247557232
C,logged,C25,34.5,Macaranga _pearsonii,0.937506549
C,logged,C26,32.2,Macaranga _hypoleuca,0.790510349
C,logged,C27,40.3,Macaranga _hypoleuca,1.374348241
C,logged,C28,70,Parashorea_malaanonan,4.920138597
C,logged,C29,35.4,Macaranga _hypoleuca,0.99901472
C,logged,C30,50,Eugenia_sp.6,2.78688214
