plot,species,n
A,Barringtonia_sarcostachys,1
A,Castanopsis_motleyana,2
A,Cleistanthus_paxii,1
A,Dillenia_excelsa,1
A,Dipterocarpus_caudiferus,3
A,Dipterocarpus_conformis,2
A,Dryobalanops_lanceolata,1
A,Eugenia_kunstleri,1
A,Knema_latericia,1
A,Lithocarpus_gracilis,3
A,Lithocarpus_sp.4,1
A,Macaranga _gigantea,3
A,Macaranga _pearsonii,2
A,Madhuca_kingiana,1
A,Mangifera_caesia,1
A,Parashorea_malaanonan,3
A,Shorea_agami,1
A,Shorea_angustifolia,3
A,Shorea_fallax,4
A,Shorea_johorensis,8
A,Shorea_macrophylla,4
A,Shorea_parvifolia,10
A,Vatica_dulitensis,3
B,Alangium_javanicum,2
B,Dehaasia_caesia,1
B,Dialium_indum,1
B,Dillenia_excelsa,1
B,Dipterocarpus_caudiferus,3
B,Eugenia_fastigiata,1
B,Eugenia_lineata,1
B,Hopea_nervosa,1
B,Lithocarpus_sp.4,1
B,Litsea_sp.8,1
B,Macaranga _gigantea,6
B,Macaranga _hypoleuca,11
B,Macaranga _pearsonii,10
B,Madhuca_korthalsii,1
B,Nothaphoebe_sp.3,2
B,Peltophorum_racemosum,1
B,Ryparosa_hullettii,1
B,Shorea_fallax,2
B,Shorea_gibbosa,2
B,Shorea_macrophylla,2
B,Shorea_parvifolia,3
B,Sympetalandra_borneensis,1
B,Teijsmanniodendron_bogoriense,1
B,Vatica_dulitensis,1
B,Vitex_qurmaea,1
C,Anisoptera_grossivenia,3
C,Baccaurea_macrocarpa,1
C,Barringtonia_lanceolata,1
C,Canarium_denticulatum,1
C,Endospermum_diadenum,1
C,Eugenia_sp.16,1
C,Eugenia_sp.6,1
C,Lithocarpus_nieuwenhuisii,1
C,Lithocarpus_sp.4,1
C,Litsea_sp.2,1
C,Macaranga _gigantea,3
C,Macaranga _hypoleuca,21
C,Macaranga _pearsonii,8
C,Madhuca_korthalsii,1
C,Neo-uvaria_accuminatissima,1
C,Parashorea_malaanonan,5
C,Parashorea_tomentella,1
C,Pentace_laxiflora,1
C,Scorodocarpus_borneensis,1
C,Shorea_agami,1
C,Shorea_argentifolia,1
C,Shorea_johorensis,2
C,Shorea_parvifolia,3
C,Vatica_albiramis,1
D,Aglaia_elliptica,2
D,Alangium_javanicum,2
D,Durio_kutejensis,1
D,Eugenia_kunstleri,1
D,Eugenia_sp.1,1
D,Ficus_benjamina,1
D,Hopea_nervosa,1
D,Horsfielda_sp.1,1
D,Koompassia_excelsa,1
D,Lithocarpus_sp.2,2
D,Litsea_sp.3,1
D,Macaranga _hypoleuca,9
D,Macaranga _pearsonii,3
D,Parashorea_malaanonan,2
D,Parashorea_tomentella,3
D,Parinari_oblongifolia,1
D,Peltophorum_racemosum,1
D,Pentace_laxiflora,3
D,Polyalthia_sumatrana,1
D,Shorea_acuminatissima,1
D,Shorea_fallax,1
D,Shorea_johorensis,5
D,Shorea_leprosula,2
D,Shorea_macrophylla,8
D,Shorea_parvifolia,5
D,Shorea_superba,4
D,Terminalia_subspathulata,1
E,Aglaia_elliptica,1
E,Aglaia_sp.6,1
E,Callicarpa_longifolia,1
E,Canarium_denticulatum,1
E,Dryobalanops_lanceolata,1
E,Endospermum_diadenum,3
E,Intsia_palembanica,1
E,Intsia_sp.1,1
E,Knema_cinerea,1
E,Lithocarpus_sp.4,1
E,Lophopetalum_beccarianum,1
E,Macaranga _gigantea,2
E,Macaranga _hypoleuca,9
E,Macaranga _pearsonii,20
E,Mallotus_oblongifolius,1
E,Parashorea_malaanonan,1
E,Pentace_laxiflora,2
E,Pleiocarpidia_sandahanica,1
E,Shorea_johorensis,2
E,Shorea_parvifolia,1
E,Sindora _irpicina,1
E,Symplocos_fasciculata,1
F,Alangium_javanicum,3
F,Azadirachta_excelsa,1
F,Barringtonia_lanceolata,1
F,Barringtonia_sarcostachys,3
F,Canarium_denticulatum,1
F,Dillenia_excelsa,1
F,Eugenia_kunstleri,1
F,Hopea_ferruginea,1
F,Irvingia_malayana,1
F,Koompassia_excelsa,2
F,Lithocarpus_gracilis,1
F,Macaranga _hypoleuca,7
F,Macaranga _pearsonii,9
F,Mastixia_trichotoma,1
F,Parashorea_malaanonan,3
F,Pentace_laxiflora,1
F,Quercus_sp.1,1
F,Scaphium_macropodum,1
F,Shorea_gibbosa,1
F,Shorea_ovalis,1
F,Shorea_parvifolia,2
F,Teijsmanniodendron_bogoriense,1
F,Vatica_sarawakensis,1
G,Aglaia_silvestris,1
G,Alangium_javanicum,1
G,Diospyros_macrophylla,2
G,Dysoxylon_alliaceum,1
G,Endospermum_diadenum,1
G,Hopea_ferruginea,4
G,Hydnocarpus_woodii,1
G,Lithocarpus_gracilis,1
G,Lophopetalum_beccarianum,2
G,Macaranga _gigantea,1
G,Macaranga _pearsonii,1
G,Microcos_crassifolia,1
G,Octomeles_sumatrana,1
G,Parashorea_malaanonan,4
G,Parashorea_tomentella,5
G,Pentace_laxiflora,4
G,Shorea_argentifolia,1
G,Shorea_johorensis,1
G,Shorea_leprosula,2
G,Shorea_parvifolia,3
G,Xanthophyllum_affine,1
H,Alangium_javanicum,2
H,Archidendron_sp.2,1
H,Canarium_denticulatum,1
H,Castanopsis_hypophoenicea,1
H,Dehaasia_caesia,3
H,Dillenia_excelsa,1
H,Dipterocarpus_caudiferus,2
H,Durio_sp.1,1
H,Dysoxylon_sp.8,1
H,Endospermum_diadenum,1
H,Gluta _wallichii,1
H,Hopea_nervosa,1
H,Hopea_nutans,1
H,Lithocarpus_sp.3,1
H,Litsea_sp.27,1
H,Lophopetalum_beccarianum,1
H,Macaranga _gigantea,10
H,Macaranga _hypoleuca,4
H,Macaranga _pearsonii,5
H,Madhuca_kingiana,3
H,Magnolia_candollii,1
H,Microcos_crassifolia,1
H,Ochanostachys_amentacea,1
H,Parashorea_tomentella,1
H,Pentace_laxiflora,1
H,Polyalthia_sumatrana,1
H,Shorea_argentifolia,1
H,Shorea_gibbosa,5
H,Shorea_johorensis,2
H,Shorea_laxa,3
H,Shorea_leprosula,1
H,Shorea_parvifolia,9
H,Shorea_pauciflora,3
H,Shorea_superba,1
H,Vatica_dulitensis,1
I,Aglaia_odoratissima,1
I,Aglaia_tomentosa,1
I,Dillenia_excelsa,1
I,Diospyros_macrophylla,1
I,Duabanga_moluccana,2
I,Eugenia_sp.23,2
I,Macaranga _pearsonii,3
I,Neesia_synandra,1
I,Neolamarckia_cadamba,2
I,Octomeles_sumatrana,4
I,Paranephelium_xestophyllum,1
I,Parashorea_malaanonan,1
I,Parashorea_tomentella,4
I,Pterospermum_stapfianum,1
I,Shorea_leprosula,1
I,Shorea_symingtonii,1
I,Triomma_malaccensis,1
J,Canarium_odontophyllum,1
J,Endospermum_diadenum,4
J,Litsea_sp.32,1
J,Macaranga _gigantea,2
J,Macaranga _pearsonii,2
J,Nephelium_ramboutan-ake,1
J,Octomeles_sumatrana,8
J,Parashorea_malaanonan,1
J,Parashorea_tomentella,1
J,Shorea_gibbosa,1
J,Shorea_parvifolia,1
K,Barringtonia_lanceolata,1
K,Castanopsis_motleyana,1
K,Chisocheton_sarawakanus,1
K,Cryptocarya_erectinervia,1
K,Cryptocarya_sp.3,1
K,Dipterocarpus_caudiferus,2
K,Dysoxylon_alliaceum,1
K,Eugenia_chrysantha,2
K,Glochidion_rubrum,1
K,Homalium_foetidum,1
K,Lithocarpus_gracilis,1
K,Lithocarpus_leptogyne,1
K,Lophopetalum_beccarianum,1
K,Macaranga _hypoleuca,1
K,Parashorea_malaanonan,3
K,Pentace_laxiflora,4
K,Shorea_argentifolia,1
K,Shorea_leprosula,1
K,Shorea_parvifolia,5
L,Alstonia_angustiloba,1
L,Artocarpus_dadak,1
L,Barringtonia_sarcostachys,1
L,Canarium_odontophyllum,1
L,Castanopsis_hypophoenicea,1
L,Cryptocarya_sp.4,1
L,Dehaasia_caesia,1
L,Dipterocarpus_caudiferus,1
L,Dysoxylon_sp.4,1
L,Eugenia_sp.6,2
L,Ficus_benjamina,1
